TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
16-06-2023,20.4,26.6,21.7,89,4.7,5.9,1,21,0,C 
17-06-2023,20,27.2,23.5,79,8.8,1.3,3,260,0,C 
18-06-2023,20.4,29.2,23.7,79,0,2.9,3,300,0,C 
19-06-2023,20.2,29,23.6,86,8888,5.8,6,250,1,C 
20-06-2023,20,29.6,23.9,79,4.6,4,2,210,0,C 
21-06-2023,21.6,31,24.5,78,0,6.9,3,110,0,C 
22-06-2023,19.8,30.4,24.2,76,34,6.4,3,270,1,C 
23-06-2023,20.8,30.6,24.3,78,0,7.9,2,230,0,C 
24-06-2023,20.6,30.4,24.9,77,0.2,8,3,220,0,C 
25-06-2023,21.6,31,25.1,76,0,6.8,3,251,0,C 
26-06-2023,20.4,30.5,24.1,74,0,6.6,4,260,1,C 
27-06-2023,20.2,30.6,24,79,-,8,2,45,0,C 
28-06-2023,20,30,23.6,83,2.6,5.9,4,55,1,C 
29-06-2023,20,31,24.2,77,4,6.9,4,131,1,C 
30-06-2023,20,30,24,75,8888,7.4,3,70,0,C 
01-07-2023,20,28.8,24.5,70,0,5.3,3,50,1,C 
02-07-2023,20.2,29.8,23.9,72,0,3.1,2,250,0,C 
03-07-2023,19.8,30.2,23.8,75,0,6.2,3,240,0,C 
04-07-2023,19.8,28.4,23.7,76,0,6.5,3,215,0,C 
05-07-2023,20,30.6,24.2,74,-,4.8,3,260,1,C 
06-07-2023,20.2,27.8,24.3,82,8888,5.8,3,243,0,C 
07-07-2023,21.4,27.6,23.5,80,8.8,1,2,95,1,C 
08-07-2023,20.6,28.8,22.5,87,8888,0.6,2,260,0,C 
09-07-2023,20.4,29.5,23.8,80,2.7,3.7,2,280,0,C 
10-07-2023,19.8,28.8,23.3,79,8888,6.5,3,230,1,C 
11-07-2023,19,30.2,23.5,71,-,5,3,100,1,C 
12-07-2023,18.8,32,24.2,62,8888,7.8,3,94,1,C 
13-07-2023,19,31,24.4,67,-,8.3,3,100,1,C 
14-07-2023,19,30,23.9,75,-,7.8,2,90,1,E 
15-07-2023,19.9,29.6,23.7,75,0,7.8,3,111,1,C 
16-07-2023,20,30.3,23.8,74,0,6.6,3,110,1,NE
17-07-2023,19.4,30.2,24,70,0,6.8,3,70,1,C 
18-07-2023,17,32,23.8,65,8888,7.5,3,109,1,C 
19-07-2023,18.6,30,22.7,67,0,8.2,6,72,2,E 
20-07-2023,18.4,31,23.2,60,0,8.4,3,30,1,NE
21-07-2023,17.4,30,23.9,73,0,8.3,3,133,1,C 
22-07-2023,19,30,24.4,67,0,4.6,2,110,1,C 
23-07-2023,20.2,30.6,24.1,71,-,4.8,3,250,1,SW
24-07-2023,22,31,24.8,76,-,7.7,6,220,1,C 
25-07-2023,21,29.4,24.1,75,0,7.2,5,250,1,C 
26-07-2023,21.2,29.4,24.1,77,12.5,6.9,3,220,1,C 
27-07-2023,19,30,23.5,70,0,5.9,2,200,1,C 
28-07-2023,19.2,30.3,23.6,67,0,7.1,3,70,1,C 
29-07-2023,17.8,30,23.2,70,-,7,3,250,1,C 
30-07-2023,18.6,30.2,22.9,64,-,8.2,4,110,1,C 
31-07-2023,17.6,30,22.8,68,0,8,3,70,1,C 
01-08-2023,17.6,31.2,23.9,69,0,7.2,2,40,0,C 
02-08-2023,17.4,30.2,24.3,75,0,7.7,1,312,0,C 
03-08-2023,20.4,30.4,23.6,82,8888,1.4,3,196,1,C 
04-08-2023,19.4,32,24.1,73,12.2,6.6,2,80,1,C 
05-08-2023,19.2,31.2,24.1,71,0,8.3,3,260,1,C 
06-08-2023,19.2,29.4,22.9,76,0,7.5,3,110,1,C 
07-08-2023,19,30.4,23.3,75,4.7,5.7,3,100,1,C 
08-08-2023,19,30.6,23.6,76,7.5,6.7,3,222,0,C 
09-08-2023,18.4,31,23.4,70,5.3,5.3,3,16,1,C 
10-08-2023,18.4,31,24.3,72,-,7.9,4,250,1,C 
11-08-2023,19.6,31.4,24.2,68,0,8.1,3,230,1,C 
12-08-2023,18,31,23.1,63,0,8,4,244,1,C 
13-08-2023,18.6,30.4,23.4,67,0,8.6,3,210,1,SW
14-08-2023,18.4,31.2,23.4,68,0,8.1,4,230,1,C 
15-08-2023,18.6,31.2,24,68,0,8.7,4,250,1,C 
16-08-2023,19.2,31.4,24.1,63,0,8.7,3,90,1,E 
17-08-2023,18.6,31.4,23.6,66,0,8.6,6,84,1,E 
18-08-2023,19.7,31,23.7,70,0,8,3,200,1,C 
19-08-2023,19.2,31.4,24.2,70,0,7.8,4,240,1,C 
20-08-2023,19.4,31.3,25.3,69,0,8.7,3,260,1,C 
21-08-2023,19.2,32.2,23.9,65,0,8,3,217,1,C 
22-08-2023,19.2,31.2,23.6,71,-,9.3,4,350,1,C 
23-08-2023,18.8,29.2,22.8,75,0,7,3,30,1,C 
24-08-2023,18.6,31.4,24,70,0,5.7,3,220,1,C 
25-08-2023,18.6,33.4,26,62,-,7.8,2,40,1,C 
26-08-2023,20.6,31.4,25,71,0,7.5,2,240,1,C 
27-08-2023,20,30.4,24.7,73,0,7.5,3,90,1,C 
28-08-2023,20.3,29.6,23.6,72,-,6.4,3,250,1,C 
29-08-2023,19.2,29.8,23.1,76,8888,6.3,3,40,1,C 
30-08-2023,18.5,30.8,23.8,65,-,7,2,120,1,C 
31-08-2023,18,31.4,23.3,65,-,7.2,3,250,1,C 
01-09-2023,18.6,32.6,24.3,65,0,7.2,3,16,1,C 
02-09-2023,18.8,31.4,24.5,62,0,9,4,230,1,C 
03-09-2023,18.4,32.4,23.5,63,0,7.6,2,70,1,E 
05-09-2023,-,31,22.7,66,-,7.9,3,90,1,C 
06-09-2023,16.2,31.4,23.9,67,0,6.9,2,40,1,C 
07-09-2023,19.9,31.5,24.8,70,0,7.4,5,295,1,C 
08-09-2023,21.8,33,25.5,69,0,7.2,2,245,1,C 
09-09-2023,20.4,31.6,25,64,0.2,8.4,3,210,1,C 
10-09-2023,20.5,31,24.8,70,0,7.2,3,240,1,C 
11-09-2023,18.5,32.6,24.2,59,0,7,4,130,1,C 
12-09-2023,18.4,34,26.8,58,0,8.5,3,90,1,E 
13-09-2023,19,34,24.8,62,0,8.1,5,32,2,NE
14-09-2023,19.2,29.4,23.7,67,0,8.3,4,65,2,N 
15-09-2023,19,31.4,23.9,66,-,5.5,4,100,1,C 
16-09-2023,18.8,30.8,23.7,74,0,6,3,100,1,C 
17-09-2023,20,31,24.8,70,17.5,4.5,4,100,1,C 
18-09-2023,21.2,32.2,25.7,68,0,6.8,4,90,1,C 
19-09-2023,21.4,29.8,24.5,70,0,6.2,3,220,0,C 
20-09-2023,21,32.2,25.1,71,0.2,3.2,2,55,1,C 
21-09-2023,21,32.8,25,69,-,3.2,4,300,1,C 
22-09-2023,18.8,32.8,24.8,62,0.3,7.4,3,220,1,C 
23-09-2023,19,31.4,23.9,64,0,7.9,4,210,2,NE
24-09-2023,19,32.6,24.2,64,-,7.2,2,80,1,C 
25-09-2023,19,33.2,24.9,66,0,7,4,47,1,C 
26-09-2023,19.6,34,25.2,57,0,9.2,4,131,1,C 
27-09-2023,19,32,24.6,60,0,9,3,90,1,C 
28-09-2023,19.8,33.8,25.2,61,0,8.4,3,100,1,C 
29-09-2023,19.9,34.8,28.1,46,0,9.2,4,120,1,C 
30-09-2023,19.8,34,25.6,56,0,9,8,110,1,C 
01-10-2023,18,34.8,24.6,54,0,7.3,3,102,1,C 
02-10-2023,-,33.1,24.3,54,-,8.4,3,360,1,NE
03-10-2023,19.4,33.2,25.2,60,0,7.3,3,110,1,C 
04-10-2023,19.4,31.6,25.4,68,0,7.5,4,30,1,C 
05-10-2023,19,32.6,25.2,66,0,6.4,4,13,1,C 
06-10-2023,19.8,34.6,26.1,62,-,6.5,5,60,1,C 
07-10-2023,19.8,34.6,25.8,66,0,7.4,3,110,1,C 
08-10-2023,19.8,35.6,26.1,65,0,7.2,4,80,1,C 
09-10-2023,20.8,34.2,25.8,65,0,9.8,4,20,1,C 
10-10-2023,-,33,24.5,72,0,8.3,4,210,1,C 
11-10-2023,20.8,34.6,26.2,69,10.1,4,3,90,1,C 
12-10-2023,20.8,32.5,25.8,64,-,6.6,2,140,1,C 
13-10-2023,20.8,33.4,26.2,66,0,6,4,20,2,C 
14-10-2023,20.8,33.4,23.7,69,0,7.1,3,110,1,C 
15-10-2023,20.2,33.2,25.9,62,0,5,4,104,1,C 
16-10-2023,20.8,35.6,26.5,63,-,7.4,3,50,1,C 
17-10-2023,21.8,35.6,27.1,60,0,6.8,5,30,1,C 
